Year,Round,EventName,Country,SessionType,DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Status,Points
2023,1,Bahrain Grand Prix,Bahrain,Q,11,S PEREZ,PER,Red Bull Racing,2.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,16,C LECLERC,LEC,Ferrari,3.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,55,C SAINZ,SAI,Ferrari,4.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,14,F ALONSO,ALO,Aston Martin,5.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,63,G RUSSELL,RUS,Mercedes,6.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,44,L HAMILTON,HAM,Mercedes,7.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,18,L STROLL,STR,Aston Martin,8.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,31,E OCON,OCO,Alpine,9.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,27,N HULKENBERG,HUL,Haas F1 Team,10.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,4,L NORRIS,NOR,McLaren,11.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,77,V BOTTAS,BOT,Alfa Romeo,12.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,24,G ZHOU,ZHO,Alfa Romeo,13.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,22,Y TSUNODA,TSU,AlphaTauri,14.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,23,A ALBON,ALB,Williams,15.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,2,L SARGEANT,SAR,Williams,16.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,20,K MAGNUSSEN,MAG,Haas F1 Team,17.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,81,O PIASTRI,PIA,McLaren,18.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,21,N DE VRIES,DEV,AlphaTauri,19.0,,,
2023,1,Bahrain Grand Prix,Bahrain,Q,10,P GASLY,GAS,Alpine,20.0,,,
2023,1,Bahrain Grand Prix,Bahrain,R,1,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,Finished,25.0
2023,1,Bahrain Grand Prix,Bahrain,R,11,S PEREZ,PER,Red Bull Racing,2.0,2.0,Finished,18.0
2023,1,Bahrain Grand Prix,Bahrain,R,14,F ALONSO,ALO,Aston Martin,3.0,5.0,Finished,15.0
2023,1,Bahrain Grand Prix,Bahrain,R,55,C SAINZ,SAI,Ferrari,4.0,4.0,Finished,12.0
2023,1,Bahrain Grand Prix,Bahrain,R,44,L HAMILTON,HAM,Mercedes,5.0,7.0,Finished,10.0
2023,1,Bahrain Grand Prix,Bahrain,R,18,L STROLL,STR,Aston Martin,6.0,8.0,Finished,8.0
