video_id,title,published_at,views,likes,comments,duration,engagement_rate
BcEvrPZSGlk,Which Ferrari Supercar steals hearts? | Ferrari collectors part 1,2026-01-28T16:00:30Z,27522,1761,128,PT2M39S,6.863600029067656
GKjdSrFtdZc,When the subject becomes the photographer 📸😉 #F1 #F1Shorts,2026-01-27T14:38:41Z,439251,14021,207,PT15S,3.239150280818939
mLkFAJyu3tI,F1 2026 | SF-26 First Laps On Track,2026-01-26T14:07:10Z,314538,15664,655,PT1M2S,5.188244345675244
SkSrX2rM8jk,2026 F1 Car Reveal | Scuderia Ferrari SF-26,2026-01-23T10:29:07Z,740434,34749,3344,PT1M25S,5.1446854142300324
